2017,2018,,Hungrybox,,Plup,,Armada,,Leffen,,Mew2 King,,Mango,,Wizzrobe,,aMSa,,Zain,,Axe,,SFAT,,Crush,,S2J,,Lucky,,HugS,,Swedish Delight,,PewPewU,,Westballz,,n0ne,,Duck,,lloD,,AbsentPage,,Ryan Ford,,KJH,,Shroomed,,ARMY,,La Luna,,Syrox,,Trif,,Captain Smuckers,,Colbol,,iBDW,,Bananas,,Ginger,,Ice,,Rishi,,Mike Haze,,Bladewise,,Captain Faceroll,,Junebug,,Kalamazhu,,2saint,,Slox,,Gahtzu,,Michael,,Moky,,Santiago,,Professor Pro,,Medz,,Over Triforce,,ChuDat,,DruggedFox,,dizzkidboogie,,Kirby Kaze,,Nintendude,,Prince Abu,,Amsah,,Android,,Hax,,Kage,,MacD,,Laudandus,,SET COUNT VS. 1-50,,,SET COUNT VS. 26-50,,,SET COUNT VS. 11-25,,,SET COUNT VS. 7-10,,,SET COUNT VS. 1-6,,
10,13,S2J,0,2,0,1,0,2,0,2,0,1,,,2,1,,,3,0,0,2,4,10,,,,,3,9,,,1,1,3,1,2,2,0,1,2,0,3,3,1,4,2,0,2,0,1,0,17,3,1,0,1,0,3,0,,,,,1,0,0,1,1,0,2,0,1,0,1,0,2,0,5,2,,,1,1,1,0,,,0,1,0,1,,,,,2,1,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,49,-,44,23,-,4,20,-,22,6,-,10,0,-,8
17,14,Lucky,,,0,2,0,2,,,1,0,,,0,1,0,3,1,2,0,1,3,7,0,2,9,3,,,5,2,1,0,1,2,3,7,1,2,,,0,1,1,0,0,1,1,1,1,0,13,15,,,2,0,,,,,,,1,0,1,1,2,0,,,,,5,3,1,0,5,3,1,0,0,2,0,1,,,0,1,,,1,0,0,1,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,59,-,51,29,-,18,17,-,17,12,-,12,1,-,4
23,15,HugS,0,1,0,3,0,3,0,1,0,1,,,0,1,2,1,1,2,,,0,3,,,,,2,5,,,1,0,1,1,2,9,1,2,1,0,0,1,1,0,0,1,1,0,,,6,8,2,4,1,0,,,1,0,1,0,0,1,3,1,1,0,0,1,,,2,2,0,1,1,2,,,,,0,1,,,,,,,2,0,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,25,-,46,9,-,10,16,-,22,0,-,5,0,-,9
16,16,Swedish Delight,0,3,0,1,1,0,0,1,,,0,1,0,1,0,3,3,4,1,0,0,3,1,0,1,1,0,1,0,1,,,1,3,1,0,3,1,6,0,1,0,1,2,0,2,2,2,,,1,1,1,1,1,0,0,1,1,0,,,1,1,0,1,3,0,0,1,0,2,0,2,,,1,0,,,,,1,2,0,1,1,0,1,0,,,,,,,,,,,1,0,,,,,,,,,,,2,0,,,2,1,,,,,,,31,-,38,13,-,12,14,-,15,3,-,5,1,-,6
21,17,PewPewU,0,1,,,0,1,,,0,1,,,,,0,1,1,2,0,2,3,1,1,1,1,3,2,1,1,1,3,1,,,1,1,,,0,2,,,,,,,0,2,0,1,2,0,1,0,,,,,1,0,1,0,1,0,,,,,,,0,1,,,,,1,0,,,,,,,2,0,1,0,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,-,23,9,-,3,12,-,13,1,-,4,0,-,3
18,18,Westballz,0,1,0,2,,,1,3,0,1,,,3,1,,,0,1,,,3,3,,,2,2,7,3,9,2,0,1,1,1,,,1,2,2,2,,,1,0,1,0,0,1,1,1,14,15,0,3,1,0,1,0,,,,,0,1,,,2,0,,,0,1,2,0,1,0,7,1,,,1,0,,,,,,,,,,,,,,,1,0,,,0,1,,,,,,,,,1,0,,,,,0,1,,,,,,,52,-,42,21,-,14,24,-,20,6,-,1,1,-,7
20,19,n0ne,0,3,0,1,0,2,0,1,,,0,1,4,4,0,1,0,2,0,2,0,1,,,1,0,2,1,2,1,1,3,,,2,1,,,0,2,,,,,5,1,1,0,1,1,0,2,1,2,1,1,,,,,0,1,1,0,1,1,1,0,,,1,0,2,0,3,1,1,1,,,,,2,0,,,1,0,2,1,1,3,,,0,1,,,1,0,,,,,,,,,1,0,1,0,,,1,0,,,,,,,,,34,-,40,15,-,11,15,-,14,4,-,7,0,-,8
14,20,Duck,1,2,0,1,,,0,2,,,0,2,0,1,1,1,1,2,0,1,0,2,,,0,2,,,0,1,0,6,2,0,2,2,2,0,,,,,1,1,1,0,10,15,0,1,,,,,,,,,,,1,1,,,,,6,1,1,0,1,0,1,0,2,0,0,1,,,,,1,0,,,,,,,1,0,,,,,,,1,0,,,,,,,,,1,0,,,,,,,1,0,,,,,,,36,-,45,22,-,14,11,-,20,2,-,4,1,-,7
26,21,lloD,0,1,,,,,,,,,,,0,3,0,1,2,9,,,1,1,,,3,3,1,0,1,0,0,1,,,,,,,,,,,0,1,,,1,4,1,1,1,0,1,1,1,0,,,,,2,1,1,1,,,1,1,,,1,1,,,1,0,2,0,22,14,,,2,0,1,1,,,,,,,2,0,,,2,0,,,1,0,,,,,,,,,,,,,,,0,1,,,,,1,0,26,-,33,15,-,12,10,-,14,1,-,6,0,-,1
74,22,AbsentPage,,,,,,,,,,,0,1,0,2,,,0,2,0,1,0,1,2,2,4,1,0,1,0,1,2,1,,,0,1,,,1,1,1,0,,,1,0,3,2,,,1,2,3,1,,,2,1,,,,,,,1,0,1,2,,,1,3,,,,,0,2,1,0,,,,,,,3,0,12,1,1,0,0,2,,,1,0,,,1,0,,,,,,,1,0,,,,,2,0,0,1,1,0,1,0,0,1,28,-,33,17,-,12,10,-,11,1,-,8,0,-,2
